Viloyat / Област / Region;Tuman / Район / District;Joyiashgan joyi / Место расположения / Location; Turi / Тип / A type;Kenglik / Широта / Latitude;Uzunlik / Долгота / Longitude;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;САНОАТЧИЛАР R4 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R1 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ТИНЧЛИК R4 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R1 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R4 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R3 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ТИНЧЛИК R2 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;П. МАХМУД R3 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R4 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R1 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;САЁТ R3 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;АЛ-ХОРАЗМИЙ R4 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;АЛ-ХОРАЗМИЙ R2 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;П. МАХМУД R1 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;САНОАТЧИЛАР R2 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R3 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Buxoro viloyati / Бухарская область / Bukhara region;РОМИТОН ТУМАНИ;РОМИТАН ТУМАНИ, А-380 АВТОМОБИЛ ЙЎЛИНИНГ 432 КМ, ҚИЗИЛРАБОТ АЯЖ;СТАЦИОНАР РАДАР;40.527389;68.21746;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;БУХОРО ШАҲАР М-37 САМАРҚАНД-БУХОРО-ТУРКМАНБОШИ А/Й 263 КМ;СТАЦИОНАР РАДАР;39.819339;64.43334299999999;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ТУМАНИ;БУХОРО ТУМАНИ ХОНАБОД МФЙ ҲУДУДИДАН ЎТУВЧИ А-380 А/Й 14,8 КМ;СТАЦИОНАР РАДАР;39.781655;64.390074;
Buxoro viloyati / Бухарская область / Bukhara region;КОГОН ТУМАНИ;КОГОН ТУМАНИ А-380 ҒУЗОР-БУХОРО-НУКУС-БЕЙНАУ А/ЙНИНГ 215 КМ;СТАЦИОНАР РАДАР;39.743228;64.486441;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ТУМАНИ;БУХОРО ТУМАНИ ХОНАБОД МФЙ ҲУДУДИДАН ЎТУВЧИ А-380 А/Й 14,8 КМ;СТАЦИОНАР РАДАР;39.781655;64.390074;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;БУХОРО ШАҲАР А-380 ҒУЗОР-БУХОРО-НУКУС-БЕЙНЕУ А/Й 219,9 КМ;СТАЦИОНАР РАДАР;39.773669;64.45607699999999;
Buxoro viloyati / Бухарская область / Bukhara region;КОГОН ТУМАНИ;КОГОН ТУМАНИ А-380 \"ҒУЗОР-БУХОРО НУКУС-БЕЙНЕУ\" АВТОМОБИЛ ЙЎЛИНИНГ 215 КМ;СТАЦИОНАР РАДАР;39.743072;64.48634199999999;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;БУХОРО ШАҲАР А-380 ҒУЗОР-БУХОРО-НУКУС-БЕЙНЕУ А/Й 219,9 КМ;СТАЦИОНАР РАДАР;39.773669;64.45607699999999;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;БУХОРО ШАҲАР М-37 САМАРҚАНД-БУХОРО-ТУРКМАНБОШИ А/Й 263 КМ;СТАЦИОНАР РАДАР;39.819339;64.43334299999999;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4К160 А/Й 28,5 КМ, XXI АСР  КЎЧАСИ, ДУНЁ САВДО МАЖМУАСИ КАРШИСИДА;ПДД КАМЕРА;40.098174;64.681905;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;XXI АСР V2 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4К160 А/Й 29 КМ, XXI АСР КЎЧАСИ, БОЗОР БЕКАТИ ОЛДИДА;ПДД КАМЕРА;40.096327;64.682982;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ V2 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4Р58 \"С\" 2,9 КМ, Ю.ХАМАДОНИЙ КЎЧАСИ, КОРЗИНКА ОЛДИДА;ПДД КАМЕРА;40.096104;64.68373699999999;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4К151 А/Й 0,2 КМ, А.ҒИЖДВОНИЙ КЎЧАСИ, АГРО БАНК КАРШИСИДА;ПДД КАМЕРА;40.101602;64.680531;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4Р58 \"С\" 3 КМ, Ю.ҲАМАДОНИЙ КЎЧАСИ, БЕК РЕСТОРАН КАРШИСИДА;ПДД КАМЕРА;40.095821;64.682613;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;А.Х.ГИЖДУВОНИЙ V3 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;А.Х.ГИЖДУВОНИЙ V1 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;НАВБАХОР V4 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4Р58 \"С\" 0,65 КМ, Ю.ХАМАДОНИЙ КЎЧАСИ, ЖАХОН БОЗОР КАРШИСИДА;ПДД КАМЕРА;40.092227;64.706397;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ V4 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ V3 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;4Р58 \"С\" 2,65 КМ, Ю.ҲАМАДОНИЙ КЎЧАСИ, ГИЖДУВОН САВДО МАРКАЗИ КАРШИСИДА;ПДД КАМЕРА;40.096694;64.686328;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ V1 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ R1 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Навоий шох - Пиридастгир кўча кесишмаси (Семруғ сп. мажмуаси-5 кичик ноҳия йўналишида);ПДД КАМЕРА;39.748896;64.424319;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ R1 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (ДОЗ-5 айланма-Тўқимачи бозор йўналишида);ПДД КАМЕРА;39.749714;64.437167;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ R4 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Улгурчи бозор-Семруғ сп. мажмуа йўналиши);ПДД КАМЕРА;39.749696;64.438014;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ R2 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;А.Х.ГИЖДУВОНИЙ R3 (ДИЛКУШО ЧОРРАХАСИ);ПДД КАМЕРА;40.093426;64.669169;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;Ю.ХАМАДОНИЙ R3 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Навоий шох-Пиридастгир кўча кесишмаси (БМИ-6 кичик ноҳия айланма ҳаракати йўналишида);ПДД КАМЕРА;39.749109;64.423670;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Навоий шох-Пиридастгир кўча кесишмаси (6 кичик ноҳия айланма ҳаракати-БМИ йўналишида);ПДД КАМЕРА;39.748477;64.423808;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;XXI АСР R2 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Семруғ сп.мажмуа –Улгурчи бозор йўналиши);ПДД КАМЕРА;39.749269;64.437014;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Мустақиллик - Пиридастгир кўчалари кесишмаси (Тўқимачи бозор-ДОЗ-5 айланма йўналишида);ПДД КАМЕРА;39.749101;64.437741;
Buxoro viloyati / Бухарская область / Bukhara region;БУХОРО ШАҲРИ;Бухоро шахри Навоий шох-Пиридастгир кўчалари кесишмаси (5 кичик ноҳия-Семруғ сп. мажмуаси йўналиши);ПДД КАМЕРА;39.748808;64.423138;
Buxoro viloyati / Бухарская область / Bukhara region;ҒИЖДУВОН ТУМАНИ;НАВБАХОР R4 (БЕК ЧОРРАХАСИ);ПДД КАМЕРА;40.095999;64.683131;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;M-39 ТЕРМИЗ-ТОШКЕНТ А/ЙНИНГ 984 КМ Ш.РАШИДОВ ТУМАНИ ХУДУДИ;СТАЦИОНАР РАДАР;40.082021;67.92964499999999;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;М-39 ТОШКЕНТ-ТЕРМИЗ А/ЙНИНГ 984 КМ Ш.РАШИДОВ ТУМАНИ ХУДУДИ;СТАЦИОНАР РАДАР;40.082021;67.92964499999999;
Jizzax viloyati / Джизакская область / Jizzakh region;ЗОМИН ТУМАНИ;ЗОМИН ШАҲАРЧАСИ МУСТАҚИЛЛИК КЎЧАСИ ЗОМИН-ДАШТОБОД А/ЙНИНГ 19 КМ;СТАЦИОНАР РАДАР;39.97834;68.411058;
Jizzax viloyati / Джизакская область / Jizzakh region;ЗОМИН ТУМАНИ;ЗОМИН ШАҲАРЧАСИ МУСТАҚИЛЛИК КЎЧАСИ ЗОМИН-ДАШТОБОД А/ЙНИНГ 19 КМ;СТАЦИОНАР РАДАР;39.97834;68.411058;
Jizzax viloyati / Джизакская область / Jizzakh region;ЖИЗЗАХ ШАҲРИ;4Р38 Ғаллаорол-Жиззах а/йўлининг 30,6 км А.Темур МФЙ кириш;СТАЦИОНАР РАДАР;40.0983970;67.7929080;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;4Р36 Жиззах-Фориш а/йўлининг 10 км Ш.Рашидов т. Куёвбоши ҚФЙ;СТАЦИОНАР РАДАР;40.151761;67.750931;
Jizzax viloyati / Джизакская область / Jizzakh region;ЗАРБДОР ТУМАНИ;А-376 Қўқон-Жиззах а/йўлининг 284 км Зарбдор т. Бўстон ш;СТАЦИОНАР РАДАР;40.095764;68.043594;
Jizzax viloyati / Джизакская область / Jizzakh region;ЖИЗЗАХ ШАҲРИ;4Р38 Ғаллаорол-Жиззах а/йўлининг 30,6 км А.Темур МФЙ кириш;СТАЦИОНАР РАДАР;40.0983970;67.7929080;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;Ш.РАШИДОВ ТУМАНИ А-376 ЖИЗЗАХ-ҚЎҚОН А/Й НИНГ 295 КМ ЯНГИХАЁТ ҚФЙ КИРИШ;СТАЦИОНАР РАДАР;40.095943;67.91247;
Jizzax viloyati / Джизакская область / Jizzakh region;ҒАЛЛАОРОЛ ТУМАНИ;ГАЛЛАОРОЛ ТУМАНИ М-39 ТЕРМИЗ-ТОШКЕНТ А/Й НИНГ 1013 КМ;СТАЦИОНАР РАДАР;40.033754;67.62634300000001;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;4Р38 Жиззах-Гагарин а/йўлининг 13 км Уч-тепа ҚФЙ кириш;СТАЦИОНАР РАДАР;40.1825170;67.8622760;
Jizzax viloyati / Джизакская область / Jizzakh region;ШАРОФ-РАШИДОВ ТУМАНИ;4Р38 Жиззах-Гагарин а/йўлининг 13 км Уч-тепа ҚФЙ кириш;СТАЦИОНАР РАДАР;40.1825170;67.8622760;
Jizzax viloyati / Джизакская область / Jizzakh region;ҒАЛЛАОРОЛ ТУМАНИ;ҒАЛЛАОРОЛ ТУМАНИ МУЛКИШ ҚФЙ МЎЛЛАБУЛОҚ ҚИШЛОҒИ ТОШКЕНТ-ТЕРМИЗ А/ЙНИНГ 1024 КМ;СТАЦИОНАР РАДАР;39.961351;67.54766600000001;
Jizzax viloyati / Джизакская область / Jizzakh region;ДЎСТЛИК ТУМАНИ;4Р35 ЖИЗЗАХ-ГАГАРИН А/ЙНИНГ 55 КМ ДЎСТЛИК ТУМАНИ. А.НАВОИЙ АЯЖ;СТАЦИОНАР РАДАР;40.540536;68.05054699999999;
Jizzax viloyati / Джизакская область / Jizzakh region;ЗАРБДОР ТУМАНИ;А-376 Қўқон-Жиззах а/йўлининг 274 км Зарбдор т. Зарбдор ш;СТАЦИОНАР РАДАР;40.0874790;68.1675280;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҒУЗОР ТУМАНИ;ҚАШҚАДАРЁ ВИЛ. ҒЎЗОР ТУМ. 4Р-79 А/Й НИНГ 22КМ КОВЧИН МФЙ МУСТАҚИЛЛИК КЎЧАСИ 9 УЙ РЎПАРАСИДА;СТАЦИОНАР РАДАР;38.847019;66.070395;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;ИСЛОМ КАРИМОВ V3 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;БУНЁДКОР R2 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;ИСЛОМ КАРИМОВ R3 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;ИСЛОМ КАРИМОВ R1 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;БУНЁДКОР V2 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qashqadaryo viloyati / Кашкадарьинская область /  Kashkadarya region;ҚАРШИ ШАҲРИ;ИСЛОМ КАРИМОВ V1 (ЧЕВАР ЧОРРАХАСИ);ПДД КАМЕРА;38.845893;65.796730;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;АМУДАРЁ ТУМАНИ;4Р181 КИПЧОК-МАНГИТ-ТУРКМАНИСТОН РЕС. ЧЕГАРАСИ А.Й. 15,6 КМ (70КМ/С);СТАЦИОНАР РАДАР;42.135767;60.066425;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;БЕРУНИЙ ТУМАНИ;4R171 А А/Й 1-2 КМ ОРАЛИҒИ \"ОБИХАЁТ\" МФЙ;СТАЦИОНАР РАДАР;41.713654;60.70516;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;ЧИМБОЙ ТУМАНИ;4Р176 НУКУС-ЧИМБОЙ-ТАХТАКУПИР А.Й. 55 КМ (70КМ/С);СТАЦИОНАР РАДАР;42.875214;59.760614;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;НУКУС ШАҲРИ;4P-176 НУКУС-ЧИМБОЙ-ТАХТАКУПИР А.Й 13 КМ \"НУКУС ШАХРИ\";СТАЦИОНАР РАДАР;42.524557;59.619448;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;КУНГИРОТ ТУМАНИ;4Р173 КУНГРОТ-МОЙНОК А.Й. 3-4 КМ (50КМ/С);СТАЦИОНАР РАДАР;43.063258;58.860174;
Qoraqalpog\'iston Respublikasi / Республика Каракалпакстан / The Republic of Karakalpakstan;КАНЛИКОЛ ТУМАНИ;А-380 ГУЗОР-БУХОРО-НУКУС-БЕЙНЕУ А.Й. 847 КМ (70КМ/С);СТАЦИОНАР РАДАР;42.821412;58.991153;
